Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,0
design__inferred_latch__count,0
design__instance__count,84
design__instance__area,636.861
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,0
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,0
design__max_cap_violation__count__corner:nom_tt_025C_1v80,0
power__internal__total,0.00010661686974344775
power__switching__total,0.00003248804932809435
power__leakage__total,8.137411855457799E-10
power__total,0.00013910573034081608
clock__skew__worst_hold__corner:nom_tt_025C_1v80,-0.251573907715373
clock__skew__worst_setup__corner:nom_tt_025C_1v80,0.25159391948595783
timing__hold__ws__corner:nom_tt_025C_1v80,0.3594232790904253
timing__setup__ws__corner:nom_tt_025C_1v80,6.6423504132638795
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,0
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,0.359423
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,Infinity
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,0
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,0
design__max_cap_violation__count__corner:nom_ss_100C_1v60,0
clock__skew__worst_hold__corner:nom_ss_100C_1v60,-0.25231309422607406
clock__skew__worst_setup__corner:nom_ss_100C_1v60,0.25233152392880404
timing__hold__ws__corner:nom_ss_100C_1v60,1.0101151312411327
timing__setup__ws__corner:nom_ss_100C_1v60,5.304759448525563
timing__hold__tns__corner:nom_ss_100C_1v60,0.0
timing__setup__tns__corner:nom_ss_100C_1v60,0.0
timing__hold__wns__corner:nom_ss_100C_1v60,0
timing__setup__wns__corner:nom_ss_100C_1v60,0.0
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,1.010115
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,Infinity
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,0
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,0
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,0
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,-0.25114747103955404
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,0.2511680934328197
timing__hold__ws__corner:nom_ff_n40C_1v95,0.1293659105344514
timing__setup__ws__corner:nom_ff_n40C_1v95,7.085774390018473
timing__hold__tns__corner:nom_ff_n40C_1v95,0.0
timing__setup__tns__corner:nom_ff_n40C_1v95,0.0
timing__hold__wns__corner:nom_ff_n40C_1v95,0
timing__setup__wns__corner:nom_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,0.129366
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,Infinity
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count,0
design__max_fanout_violation__count,0
design__max_cap_violation__count,0
clock__skew__worst_hold,-0.25101610389644996
clock__skew__worst_setup,0.25102606814837775
timing__hold__ws,0.12547419014501623
timing__setup__ws,5.283800657673934
timing__hold__tns,0.0
timing__setup__tns,0.0
timing__hold__wns,0
timing__setup__wns,0.0
timing__hold_vio__count,0
timing__hold_r2r__ws,0.125474
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,inf
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 42.48 53.2
design__core__bbox,5.52 10.88 36.8 40.8
design__io,22
design__die__area,2259.94
design__core__area,935.898
design__instance__count__stdcell,84
design__instance__area__stdcell,636.861
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__utilization,0.680481
design__instance__utilization__stdcell,0.680481
design__instance__count__class:inverter,3
design__instance__count__class:sequential_cell,8
design__instance__count__class:multi_input_combinational_cell,34
flow__warnings__count,1
flow__errors__count,0
design__instance__count__class:fill_cell,75
design__instance__count__class:tap_cell,13
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count,0
floorplan__design__io,20
design__io__hpwl,484163
timing__drv__floating__nets,0
timing__drv__floating__pins,0
design__instance__displacement__total,0
design__instance__displacement__mean,0
design__instance__displacement__max,0
route__wirelength__estimated,1062.94
design__violations,0
design__instance__count__class:timing_repair_buffer,23
design__instance__count__class:clock_buffer,3
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,2
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,0
route__net,83
route__net__special,2
route__drc_errors__iter:1,14
route__wirelength__iter:1,1129
route__drc_errors__iter:2,24
route__wirelength__iter:2,1141
route__drc_errors__iter:3,1
route__wirelength__iter:3,1136
route__drc_errors__iter:4,0
route__wirelength__iter:4,1136
route__drc_errors,0
route__wirelength,1136
route__vias,461
route__vias__singlecut,461
route__vias__multicut,0
design__disconnected_pin__count,0
design__critical_disconnected_pin__count,0
route__wirelength__max,70.32
timing__unannotated_net__count__corner:nom_tt_025C_1v80,0
timing__unannotated_net_filtered__count__corner:nom_tt_025C_1v80,0
timing__unannotated_net__count__corner:nom_ss_100C_1v60,0
timing__unannotated_net_filtered__count__corner:nom_ss_100C_1v60,0
timing__unannotated_net__count__corner:nom_ff_n40C_1v95,0
timing__unannotated_net_filtered__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count__corner:min_tt_025C_1v80,0
design__max_fanout_violation__count__corner:min_tt_025C_1v80,0
design__max_cap_violation__count__corner:min_tt_025C_1v80,0
clock__skew__worst_hold__corner:min_tt_025C_1v80,-0.25139938065096595
clock__skew__worst_setup__corner:min_tt_025C_1v80,0.25140903959155336
timing__hold__ws__corner:min_tt_025C_1v80,0.3533438086579413
timing__setup__ws__corner:min_tt_025C_1v80,6.655551853578454
timing__hold__tns__corner:min_tt_025C_1v80,0.0
timing__setup__tns__corner:min_tt_025C_1v80,0.0
timing__hold__wns__corner:min_tt_025C_1v80,0
timing__setup__wns__corner:min_tt_025C_1v80,0.0
timing__hold_vio__count__corner:min_tt_025C_1v80,0
timing__hold_r2r__ws__corner:min_tt_025C_1v80,0.353344
timing__hold_r2r_vio__count__corner:min_tt_025C_1v80,0
timing__setup_vio__count__corner:min_tt_025C_1v80,0
