Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,1
design__inferred_latch__count,0
design__instance__count,9611
design__instance__area,20365.8
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,0
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,8
design__max_cap_violation__count__corner:nom_tt_025C_1v80,0
power__internal__total,0.0006466758786700666
power__switching__total,0.00038808953831903636
power__leakage__total,4.742439330129855E-8
power__total,0.001034812768921256
clock__skew__worst_hold__corner:nom_tt_025C_1v80,-0.2645396476751541
clock__skew__worst_setup__corner:nom_tt_025C_1v80,0.26441113935641924
timing__hold__ws__corner:nom_tt_025C_1v80,0.32842118842938856
timing__setup__ws__corner:nom_tt_025C_1v80,13.869943808280466
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,0
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,0.328421
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,14.809312
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,0
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,8
design__max_cap_violation__count__corner:nom_ss_100C_1v60,0
clock__skew__worst_hold__corner:nom_ss_100C_1v60,-0.27098821176261345
clock__skew__worst_setup__corner:nom_ss_100C_1v60,0.2708628675795883
timing__hold__ws__corner:nom_ss_100C_1v60,0.9094540933313453
timing__setup__ws__corner:nom_ss_100C_1v60,9.944958027462256
timing__hold__tns__corner:nom_ss_100C_1v60,0.0
timing__setup__tns__corner:nom_ss_100C_1v60,0.0
timing__hold__wns__corner:nom_ss_100C_1v60,0
timing__setup__wns__corner:nom_ss_100C_1v60,0.0
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,0.909454
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,9.944958
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,0
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,8
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,0
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,-0.26118599688982114
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,0.26105593425880785
timing__hold__ws__corner:nom_ff_n40C_1v95,0.11129736336457094
timing__setup__ws__corner:nom_ff_n40C_1v95,14.485453246897288
timing__hold__tns__corner:nom_ff_n40C_1v95,0.0
timing__setup__tns__corner:nom_ff_n40C_1v95,0.0
timing__hold__wns__corner:nom_ff_n40C_1v95,0
timing__setup__wns__corner:nom_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,0.111297
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,17.818684
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count,3
design__max_fanout_violation__count,8
design__max_cap_violation__count,0
clock__skew__worst_hold,-0.2599946720395541
clock__skew__worst_setup,0.2599100730426851
timing__hold__ws,0.10921114321999548
timing__setup__ws,9.841057136630377
timing__hold__tns,0.0
timing__setup__tns,0.0
timing__hold__wns,0
timing__setup__wns,0.0
timing__hold_vio__count,0
timing__hold_r2r__ws,0.109211
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,9.841057
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 800.0 800.0
design__core__bbox,5.52 10.88 794.42 788.8
design__io,21
design__die__area,640000
design__core__area,613701
design__instance__count__stdcell,9611
design__instance__area__stdcell,20365.8
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__utilization,0.0331852
design__instance__utilization__stdcell,0.0331852
design__instance__count__class:inverter,6
design__instance__count__class:sequential_cell,154
design__instance__count__class:multi_input_combinational_cell,417
flow__warnings__count,1
flow__errors__count,0
design__instance__count__class:fill_cell,52757
design__instance__count__class:tap_cell,8784
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count,0
floorplan__design__io,19
design__io__hpwl,8562673
timing__drv__floating__nets,0
timing__drv__floating__pins,0
design__instance__displacement__total,0
design__instance__displacement__mean,0
design__instance__displacement__max,0
route__wirelength__estimated,20960.2
design__violations,0
design__instance__count__class:timing_repair_buffer,205
design__instance__count__class:clock_buffer,17
design__instance__count__class:clock_inverter,15
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,133
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,13
design__instance__count__class:antenna_cell,13
route__net,801
route__net__special,2
route__drc_errors__iter:1,243
route__wirelength__iter:1,24658
route__drc_errors__iter:2,26
route__wirelength__iter:2,24391
route__drc_errors__iter:3,37
route__wirelength__iter:3,24256
route__drc_errors__iter:4,1
route__wirelength__iter:4,24229
route__drc_errors__iter:5,0
route__wirelength__iter:5,24232
route__drc_errors,0
route__wirelength,24232
route__vias,5521
route__vias__singlecut,5521
route__vias__multicut,0
design__disconnected_pin__count,0
design__critical_disconnected_pin__count,0
route__wirelength__max,824.44
timing__unannotated_net__count__corner:nom_tt_025C_1v80,15
timing__unannotated_net_filtered__count__corner:nom_tt_025C_1v80,0
timing__unannotated_net__count__corner:nom_ss_100C_1v60,15
timing__unannotated_net_filtered__count__corner:nom_ss_100C_1v60,0
timing__unannotated_net__count__corner:nom_ff_n40C_1v95,15
timing__unannotated_net_filtered__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count__corner:min_tt_025C_1v80,0
design__max_fanout_violation__count__corner:min_tt_025C_1v80,8
design__max_cap_violation__count__corner:min_tt_025C_1v80,0
clock__skew__worst_hold__corner:min_tt_025C_1v80,-0.26305700029498624
clock__skew__worst_setup__corner:min_tt_025C_1v80,0.2629736780546316
timing__hold__ws__corner:min_tt_025C_1v80,0.32544856619688317
timing__setup__ws__corner:min_tt_025C_1v80,13.939902959843565
timing__hold__tns__corner:min_tt_025C_1v80,0.0
timing__setup__tns__corner:min_tt_025C_1v80,0.0
timing__hold__wns__corner:min_tt_025C_1v80,0
timing__setup__wns__corner:min_tt_025C_1v80,0.0
timing__hold_vio__count__corner:min_tt_025C_1v80,0
